,City,Total Price,Rupee_per_area(sq-feet),Area,Apartement
36880,Ghaziabad,57.25,5000.0,1145,2.0
36881,Ghaziabad,2.06,8300.0,2485,3.0
36882,Greater Noida,53.12,4660.0,1140,2.0
36883,Greater Noida,47.31,3850.0,1229,2.0
36884,Greater Noida,78.75,4716.0,1670,3.0
36886,Greater Noida,71.89,4424.0,1625,3.0
36887,Ghaziabad,17.03,4518.0,377,1.0
36888,Ghaziabad,28.8,2400.0,1200,2.0
36889,Ghaziabad,98.0,4900.0,2000,3.0
36891,Greater Noida,51.89,4850.0,1070,2.0
36892,Greater Noida,78.72,4700.0,1675,3.0
36893,Greater Noida,67.7,4299.0,1575,3.0
36894,Greater Noida,76.21,5293.0,1440,3.0
36896,Greater Noida,37.39,3800.0,984,2.0
36897,Noida,3.87,11000.0,3525,4.0
36899,Lucknow,49.0,4000.0,1225,2.0
36900,Ghaziabad,57.25,5000.0,1145,2.0
36901,Ghaziabad,2.06,8300.0,2485,3.0
36902,Greater Noida,53.12,4660.0,1140,2.0
36903,Greater Noida,47.31,3850.0,1229,2.0
36904,Greater Noida,78.75,4716.0,1670,3.0
36906,Greater Noida,71.89,4424.0,1625,3.0
36907,Ghaziabad,17.03,4518.0,377,1.0
36908,Ghaziabad,28.8,2400.0,1200,2.0
36909,Ghaziabad,98.0,4900.0,2000,3.0
36911,Greater Noida,51.89,4850.0,1070,2.0
36912,Greater Noida,78.72,4700.0,1675,3.0
36913,Greater Noida,67.7,4299.0,1575,3.0
36914,Greater Noida,76.21,5293.0,1440,3.0
36916,Greater Noida,37.39,3800.0,984,2.0
36917,Noida,3.87,11000.0,3525,4.0
36919,Lucknow,49.0,4000.0,1225,2.0
36920,Ghaziabad,57.25,5000.0,1145,2.0
36921,Ghaziabad,2.06,8300.0,2485,3.0
36922,Greater Noida,53.12,4660.0,1140,2.0
36923,Greater Noida,47.31,3850.0,1229,2.0
36924,Greater Noida,78.75,4716.0,1670,3.0
36926,Greater Noida,71.89,4424.0,1625,3.0
36927,Ghaziabad,17.03,4518.0,377,1.0
36928,Ghaziabad,28.8,2400.0,1200,2.0
36929,Ghaziabad,98.0,4900.0,2000,3.0
36931,Greater Noida,51.89,4850.0,1070,2.0
36932,Greater Noida,78.72,4700.0,1675,3.0
36933,Greater Noida,67.7,4299.0,1575,3.0
36934,Greater Noida,76.21,5293.0,1440,3.0
36936,Greater Noida,37.39,3800.0,984,2.0
36937,Noida,3.87,11000.0,3525,4.0
36939,Lucknow,49.0,4000.0,1225,2.0
36940,Ghaziabad,57.25,5000.0,1145,2.0
36941,Ghaziabad,2.06,8300.0,2485,3.0
36942,Greater Noida,53.12,4660.0,1140,2.0
36943,Greater Noida,47.31,3850.0,1229,2.0
36944,Greater Noida,78.75,4716.0,1670,3.0
36946,Greater Noida,71.89,4424.0,1625,3.0
36947,Ghaziabad,17.03,4518.0,377,1.0
36948,Ghaziabad,28.8,2400.0,1200,2.0
36949,Ghaziabad,98.0,4900.0,2000,3.0
36951,Greater Noida,51.89,4850.0,1070,2.0
36952,Greater Noida,78.72,4700.0,1675,3.0
36953,Greater Noida,67.7,4299.0,1575,3.0
36954,Greater Noida,76.21,5293.0,1440,3.0
36956,Greater Noida,37.39,3800.0,984,2.0
36957,Noida,3.87,11000.0,3525,4.0
36959,Lucknow,49.0,4000.0,1225,2.0
36960,Ghaziabad,57.25,5000.0,1145,2.0
36961,Ghaziabad,2.06,8300.0,2485,3.0
36962,Greater Noida,53.12,4660.0,1140,2.0
36963,Greater Noida,47.31,3850.0,1229,2.0
36964,Greater Noida,78.75,4716.0,1670,3.0
36966,Greater Noida,71.89,4424.0,1625,3.0
36967,Ghaziabad,17.03,4518.0,377,1.0
36968,Ghaziabad,28.8,2400.0,1200,2.0
36969,Ghaziabad,98.0,4900.0,2000,3.0
36971,Greater Noida,51.89,4850.0,1070,2.0
36972,Greater Noida,78.72,4700.0,1675,3.0
36973,Greater Noida,67.7,4299.0,1575,3.0
36974,Greater Noida,76.21,5293.0,1440,3.0
36976,Greater Noida,37.39,3800.0,984,2.0
36977,Noida,3.87,11000.0,3525,4.0
36979,Lucknow,49.0,4000.0,1225,2.0
36980,Ghaziabad,57.25,5000.0,1145,2.0
36981,Ghaziabad,2.06,8300.0,2485,3.0
